127.0.0.1 - - [21/Jan/2020:13:34:47 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:35:03 +0900] "GET /Java_Test01/_09_rentcar/01_main.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:35:04 +0900] "GET /Java_Test01/_09_rentcar/_09_imgCar/rent_17.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:35:04 +0900] "GET /Java_Test01/_09_rentcar/img/rent.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:35:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:52 +0900] "GET /Java_Test01/_09_rentcar/05_memberLogin.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:52 +0900] "GET /Java_Test01/_09_rentcar/05_memberLogin.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:56 +0900] "POST /Java_Test01/_09_rentcar/06_memberLoginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:56 +0900] "GET /Java_Test01/_09_rentcar/01_main.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:56 +0900] "GET /Java_Test01/_09_rentcar/img/rent.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:56 +0900] "GET /Java_Test01/_09_rentcar/_09_imgCar/rent_17.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:58 +0900] "GET /Java_Test01/_09_rentcar/07_memberLogout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:58 +0900] "GET /Java_Test01/_09_rentcar/01_main.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:58 +0900] "GET /Java_Test01/_09_rentcar/_09_imgCar/rent_17.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:58 +0900] "GET /Java_Test01/_09_rentcar/img/rent.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:36:59 +0900] "GET /Java_Test01/_09_rentcar/05_memberLogin.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:37:02 +0900] "POST /Java_Test01/_09_rentcar/06_memberLoginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:37:02 +0900] "GET /Java_Test01/_09_rentcar/01_main.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:37:02 +0900] "GET /Java_Test01/_09_rentcar/img/rent.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:37:02 +0900] "GET /Java_Test01/_09_rentcar/_09_imgCar/rent_17.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:37:06 +0900] "GET /Java_Test01/_09_rentcar/07_memberLogout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:13:37:06 +0900] "GET /Java_Test01/_09_rentcar/01_main.jsp HTTP/1.1" 200 2720
